0,1,2,3,4,5,6,7
0.0,1.0,0.0,0.0,29873.0,88.0,48.0,21.55
1.0,1.0,0.0,0.0,1161.0,81.0,11.0,15.45
0.0,0.0,0.0,1.0,34256.0,30.0,44.0,29.64
1.0,1.0,0.0,0.0,1558.0,27.0,29.0,16.86
1.0,0.0,1.0,0.0,30211.0,21.0,3.0,28.58
0.0,0.0,0.0,1.0,31487.0,60.0,3.0,17.97
1.0,0.0,0.0,1.0,1306.0,8.0,43.0,30.67
0.0,0.0,1.0,0.0,40885.0,6.0,31.0,20.3
1.0,0.0,0.0,1.0,38099.0,22.0,16.0,20.19
1.0,0.0,0.0,1.0,28070.0,10.0,33.0,12.93
0.0,0.0,1.0,0.0,31207.0,47.0,28.0,22.82
1.0,0.0,0.0,1.0,5444.0,97.0,42.0,15.11
1.0,1.0,0.0,0.0,22797.0,7.0,45.0,21.26
1.0,1.0,0.0,0.0,33233.0,48.0,4.0,30.54
1.0,0.0,0.0,1.0,24210.0,28.0,14.0,22.05
0.0,0.0,1.0,0.0,27165.0,73.0,25.0,30.15
0.0,1.0,0.0,0.0,19940.0,64.0,22.0,25.01
0.0,0.0,0.0,1.0,8157.0,10.0,37.0,25.96
1.0,0.0,0.0,1.0,7924.0,63.0,36.0,34.71
1.0,1.0,0.0,0.0,48114.0,30.0,36.0,15.93
0.0,0.0,1.0,0.0,7070.0,44.0,18.0,14.78
0.0,0.0,0.0,1.0,35650.0,98.0,1.0,25.43
0.0,0.0,0.0,1.0,45412.0,11.0,21.0,31.45
0.0,0.0,1.0,0.0,38856.0,36.0,8.0,14.75
1.0,0.0,1.0,0.0,18150.0,87.0,26.0,28.24
1.0,0.0,1.0,0.0,5908.0,49.0,49.0,32.4
1.0,0.0,0.0,1.0,9655.0,87.0,13.0,22.86
0.0,0.0,0.0,1.0,34160.0,66.0,2.0,25.46
1.0,1.0,0.0,0.0,21162.0,10.0,37.0,27.83
1.0,0.0,1.0,0.0,42729.0,20.0,17.0,11.91
1.0,0.0,1.0,0.0,18350.0,86.0,18.0,12.38
0.0,1.0,0.0,0.0,9405.0,31.0,30.0,11.04
1.0,0.0,1.0,0.0,2091.0,99.0,39.0,24.85
0.0,1.0,0.0,0.0,26715.0,27.0,46.0,13.11
1.0,0.0,0.0,1.0,21408.0,73.0,20.0,27.59
1.0,0.0,1.0,0.0,27708.0,47.0,24.0,11.26
0.0,0.0,0.0,1.0,1636.0,19.0,49.0,15.18
0.0,0.0,0.0,1.0,26158.0,98.0,47.0,31.83
1.0,0.0,1.0,0.0,21087.0,92.0,42.0,26.97
1.0,0.0,0.0,1.0,11546.0,91.0,47.0,17.42
1.0,0.0,0.0,1.0,39327.0,70.0,36.0,19.4
1.0,0.0,1.0,0.0,31963.0,2.0,20.0,23.53
1.0,0.0,1.0,0.0,13990.0,80.0,27.0,12.9
0.0,0.0,1.0,0.0,14218.0,74.0,8.0,30.22
1.0,0.0,0.0,1.0,36642.0,36.0,32.0,11.17
1.0,0.0,0.0,1.0,11498.0,70.0,12.0,28.57
0.0,1.0,0.0,0.0,27582.0,24.0,24.0,29.99
1.0,0.0,1.0,0.0,36496.0,5.0,38.0,24.0
1.0,0.0,1.0,0.0,5819.0,56.0,41.0,26.19
1.0,0.0,1.0,0.0,24762.0,51.0,12.0,21.65
0.0,0.0,0.0,1.0,7814.0,21.0,19.0,27.27
0.0,0.0,0.0,1.0,6155.0,78.0,43.0,21.89
0.0,1.0,0.0,0.0,45313.0,4.0,44.0,33.56
1.0,1.0,0.0,0.0,11553.0,13.0,23.0,25.63
0.0,0.0,1.0,0.0,19750.0,80.0,39.0,20.28
0.0,0.0,1.0,0.0,13088.0,41.0,30.0,33.5
0.0,0.0,0.0,1.0,11985.0,41.0,17.0,33.48
1.0,0.0,0.0,1.0,38141.0,90.0,11.0,19.64
0.0,0.0,0.0,1.0,31178.0,26.0,11.0,27.46
1.0,0.0,1.0,0.0,17868.0,68.0,35.0,10.4
1.0,0.0,1.0,0.0,20482.0,24.0,16.0,23.0
1.0,0.0,0.0,1.0,17982.0,4.0,37.0,13.29
1.0,0.0,0.0,1.0,33642.0,66.0,11.0,16.89
1.0,1.0,0.0,0.0,33413.0,75.0,17.0,21.6
